partition,rho_means,d,abs_d,p_MW,p_perm,rho_means_ci_lo,rho_means_ci_hi,d_ci_lo,d_ci_hi,n_input,n_structure
A_baseline,1.8311585846242062,0.5128036727689543,0.5128036727689543,0.0,0.0,1.813174982945985,1.8502484509943502,0.5042550053568597,0.5213904697551219,117443,97674
B_tight,1.451216468156306,0.3294515509778053,0.3294515509778053,0.0,0.0,1.4363994736407395,1.466068405540072,0.31967466865410504,0.33926054898360153,147996,67121
C_wide,1.811285743129068,0.5061021354562627,0.5061021354562627,0.0,0.0,1.7932796210193205,1.8295542038947967,0.4975509269341856,0.5148613525033614,120035,95945
D_atc,1.9850465090874123,0.6726919644282777,0.6726919644282777,0.0,0.0,1.9571551593640188,2.013527726435568,0.6573573290688907,0.688380652196823,71514,30721
