gene	ORF	class
CPX-1307		NONE
CPX-1314		NONE
CPX-1315		NONE
CPX-1316		NONE
CPX-1317		NONE
CPX-1318		NONE
CPX-1319		NONE
CPX-1320		NONE
CPX-1322		NONE
CPX-1323		STRUCTURE
CPX-1331		NONE
CPX-1332		NONE
CPX-1333		NONE
CPX-1335		NONE
CPX-1340		NONE
CPX-1341		NONE
CPX-1342		NONE
CPX-1344		NONE
CPX-1355		NONE
CPX-1362		NONE
CPX-1363		NONE
CPX-1364		NONE
CPX-1365		NONE
CPX-1369		NONE
CPX-1370		NONE
CPX-1371		NONE
CPX-1372		NONE
CPX-1377		NONE
CPX-1378		NONE
CPX-1379		NONE
CPX-1380		INPUT
CPX-1381		NONE
CPX-1382		INPUT
CPX-1383		NONE
CPX-1384		NONE
CPX-1386		NONE
CPX-1387		NONE
CPX-140		NONE
CPX-1407		NONE
CPX-1408		NONE
CPX-1409		NONE
CPX-1410		NONE
CPX-1412		NONE
CPX-1413		NONE
CPX-1414		NONE
CPX-1415		NONE
CPX-1417		NONE
CPX-1418		NONE
CPX-1419		NONE
CPX-1420		NONE
CPX-1421		STRUCTURE
CPX-1422		NONE
CPX-1423		NONE
CPX-1424		NONE
CPX-1425		NONE
CPX-1426		NONE
CPX-1470		NONE
CPX-15		NONE
CPX-1500		NONE
CPX-1501		NONE
CPX-154		NONE
CPX-1556		NONE
CPX-1599		NONE
CPX-1601		NONE
CPX-1602		NONE
CPX-1603		NONE
CPX-1604		NONE
CPX-1606		STRUCTURE
CPX-161		NONE
CPX-1610		STRUCTURE
CPX-1611		STRUCTURE
CPX-1612		STRUCTURE
CPX-1613		STRUCTURE
CPX-1614		STRUCTURE
CPX-1616		NONE
CPX-162		NONE
CPX-1622		NONE
CPX-1623		NONE
CPX-1624		NONE
CPX-1625		NONE
CPX-1626		NONE
CPX-1627		NONE
CPX-1628		NONE
CPX-1629		NONE
CPX-1630		NONE
CPX-1631		NONE
CPX-1632		NONE
CPX-1633		NONE
CPX-1634		NONE
CPX-1635		NONE
CPX-1636	YPT1/SEC4 proteins geranylgeranyltransferase complex	NONE
CPX-1637		NONE
CPX-1638		NONE
CPX-1639		NONE
CPX-1640		NONE
CPX-1641		STRUCTURE
CPX-1642		NONE
CPX-1643		NONE
CPX-1644		NONE
CPX-1645		NONE
CPX-1646		NONE
CPX-1647		NONE
CPX-1648		NONE
CPX-1649		NONE
CPX-1651		NONE
CPX-1652		NONE
CPX-1653		NONE
CPX-1654		NONE
CPX-1655		NONE
CPX-1656		NONE
CPX-1657		INPUT
CPX-1658		NONE
CPX-1659		NONE
CPX-166		NONE
CPX-1660		NONE
CPX-1661		NONE
CPX-1662		NONE
CPX-1663		NONE
CPX-1664		NONE
CPX-1665		NONE
CPX-1666		NONE
CPX-1667		NONE
CPX-1668		NONE
CPX-1669		NONE
CPX-1670		NONE
CPX-1671		STRUCTURE
CPX-1672		NONE
CPX-1673		STRUCTURE
CPX-1674		NONE
CPX-1675		NONE
CPX-1676		NONE
CPX-1677		NONE
CPX-1678		NONE
CPX-1679		NONE
CPX-1680		NONE
CPX-1681		NONE
CPX-1682		NONE
CPX-1683		NONE
CPX-1684		INPUT
CPX-1685		INPUT
CPX-1686		NONE
CPX-1687		NONE
CPX-1688		INPUT
CPX-1689		NONE
CPX-1690		NONE
CPX-1691		NONE
CPX-1692		NONE
CPX-1693		STRUCTURE
CPX-1694		NONE
CPX-1695		STRUCTURE
CPX-1696		NONE
CPX-1697		STRUCTURE
CPX-1698		NONE
CPX-1699		NONE
CPX-1700		NONE
CPX-1701		STRUCTURE
CPX-1702		NONE
CPX-1703		STRUCTURE
CPX-1704		NONE
CPX-1705		NONE
CPX-1706		NONE
CPX-1707		NONE
CPX-1708		NONE
CPX-1709		NONE
CPX-1710		NONE
CPX-1711		NONE
CPX-1712		NONE
CPX-1715		BOTH
CPX-1716		BOTH
CPX-1717		INPUT
CPX-1718		NONE
CPX-1719		NONE
CPX-1720		NONE
CPX-1721		NONE
CPX-1722		NONE
CPX-1726		NONE
CPX-1730		NONE
CPX-1731		NONE
CPX-1732	YKU70/80 complex	NONE
CPX-1733		STRUCTURE
CPX-1734		STRUCTURE
CPX-1735		NONE
CPX-1738		NONE
CPX-1739		NONE
CPX-1740		NONE
CPX-1741		NONE
CPX-1742		NONE
CPX-1743		STRUCTURE
CPX-1744		NONE
CPX-1786		NONE
CPX-1787		NONE
CPX-1792		NONE
CPX-1793		NONE
CPX-1800		NONE
CPX-1805		NONE
CPX-1806		NONE
CPX-1807		NONE
CPX-1808		NONE
CPX-1809		NONE
CPX-1810		NONE
CPX-1811		NONE
CPX-1812		STRUCTURE
CPX-1813		NONE
CPX-1814		NONE
CPX-1830		NONE
CPX-1831		NONE
CPX-1832		NONE
CPX-1833		NONE
CPX-1834		NONE
CPX-1835		NONE
CPX-1836		NONE
CPX-1837		NONE
CPX-1838		NONE
CPX-1839		NONE
CPX-1840		NONE
CPX-1846		NONE
CPX-1848		NONE
CPX-1849		NONE
CPX-1850		NONE
CPX-1851		NONE
CPX-1852		NONE
CPX-1853		INPUT
CPX-1854		NONE
CPX-1855		NONE
CPX-1856		NONE
CPX-1857		NONE
CPX-1858		NONE
CPX-1859		NONE
CPX-1861		NONE
CPX-1862		STRUCTURE
CPX-1863		INPUT
CPX-1864		STRUCTURE
CPX-1865		STRUCTURE
CPX-1866		STRUCTURE
CPX-1867		NONE
CPX-1868		NONE
CPX-1869		NONE
CPX-1872		NONE
CPX-1873		NONE
CPX-1881		NONE
CPX-1882		NONE
CPX-1883		NONE
CPX-1884		NONE
CPX-1885		NONE
CPX-1886		NONE
CPX-1887		NONE
CPX-1888		NONE
CPX-1889		NONE
CPX-1890		NONE
CPX-1891		NONE
CPX-1892		NONE
CPX-1893		NONE
CPX-1894		NONE
CPX-1895		NONE
CPX-1896		NONE
CPX-1898		NONE
CPX-1899		NONE
CPX-1900		NONE
CPX-1901		NONE
CPX-1903		NONE
CPX-1904		NONE
CPX-1905		NONE
CPX-1906		NONE
CPX-1939		NONE
CPX-1940		NONE
CPX-1947		NONE
CPX-2091		NONE
CPX-21		STRUCTURE
CPX-2101		NONE
CPX-2110		STRUCTURE
CPX-2112		NONE
CPX-2122		NONE
CPX-2143		NONE
CPX-2146		NONE
CPX-2147		NONE
CPX-2148		NONE
CPX-2156		STRUCTURE
CPX-2225		NONE
CPX-2262		STRUCTURE
CPX-2267		NONE
CPX-2268		NONE
CPX-2281		NONE
CPX-23		NONE
CPX-231		NONE
CPX-232		NONE
CPX-2321		NONE
CPX-2371		NONE
CPX-24		NONE
CPX-242		NONE
CPX-25		NONE
CPX-2523		NONE
CPX-2533		STRUCTURE
CPX-2541		NONE
CPX-2566		STRUCTURE
CPX-2581		NONE
CPX-26		NONE
CPX-26486		NONE
CPX-2660		NONE
CPX-2662		NONE
CPX-2678		NONE
CPX-2680		NONE
CPX-2723		NONE
CPX-2800		NONE
CPX-2841		INPUT
CPX-2854		NONE
CPX-2894		NONE
CPX-2895		NONE
CPX-2896		NONE
CPX-29		NONE
CPX-2902		NONE
CPX-2910		NONE
CPX-2911		STRUCTURE
CPX-2918		NONE
CPX-2921		NONE
CPX-2923		NONE
CPX-2935		NONE
CPX-2937		NONE
CPX-2944		NONE
CPX-2946		STRUCTURE
CPX-2948		STRUCTURE
CPX-2950		NONE
CPX-297		STRUCTURE
CPX-30		NONE
CPX-301		STRUCTURE
CPX-302		NONE
CPX-3028		NONE
CPX-303		NONE
CPX-3034		NONE
CPX-3036		STRUCTURE
CPX-3037		STRUCTURE
CPX-3038		STRUCTURE
CPX-3039		STRUCTURE
CPX-3040		STRUCTURE
CPX-3055		NONE
CPX-3056		NONE
CPX-3069		NONE
CPX-307		NONE
CPX-3070		STRUCTURE
CPX-3074		NONE
CPX-3078		NONE
CPX-3087		NONE
CPX-3088		NONE
CPX-31		NONE
CPX-3139		NONE
CPX-3146		NONE
CPX-3155		NONE
CPX-3158		NONE
CPX-3159		NONE
CPX-3163		NONE
CPX-3172		INPUT
CPX-3179		NONE
CPX-3180		NONE
CPX-3184		NONE
CPX-3185		NONE
CPX-3188		NONE
CPX-3196		STRUCTURE
CPX-32		NONE
CPX-3207		NONE
CPX-3211		NONE
CPX-3212		NONE
CPX-3215		STRUCTURE
CPX-3226		NONE
CPX-3231		NONE
CPX-3233		NONE
CPX-3234		STRUCTURE
CPX-3238		NONE
CPX-3241		STRUCTURE
CPX-3242		NONE
CPX-3243		NONE
CPX-3244		NONE
CPX-3248		NONE
CPX-3249		STRUCTURE
CPX-325		NONE
CPX-3250		NONE
CPX-3253		NONE
CPX-3254		NONE
CPX-3255		NONE
CPX-3265		NONE
CPX-3279		NONE
CPX-3281		NONE
CPX-3284		NONE
CPX-3294		NONE
CPX-3297		NONE
CPX-3298		NONE
CPX-334		NONE
CPX-3342		NONE
CPX-335		STRUCTURE
CPX-336		STRUCTURE
CPX-337		STRUCTURE
CPX-3384		NONE
CPX-339		NONE
CPX-342		NONE
CPX-3462		NONE
CPX-3503		NONE
CPX-3541		NONE
CPX-36		NONE
CPX-361		NONE
CPX-3621		NONE
CPX-3681		NONE
CPX-384		NONE
CPX-385		NONE
CPX-386		INPUT
CPX-392		NONE
CPX-393		NONE
CPX-396		NONE
CPX-397		NONE
CPX-416		NONE
CPX-417		NONE
CPX-418		NONE
CPX-422		NONE
CPX-425		NONE
CPX-426		STRUCTURE
CPX-427		NONE
CPX-429		NONE
CPX-43		NONE
CPX-430		NONE
CPX-431		NONE
CPX-435		NONE
CPX-44		NONE
CPX-45		NONE
CPX-46		NONE
CPX-465		NONE
CPX-473		NONE
CPX-474		NONE
CPX-5304		NONE
CPX-532		NONE
CPX-5321		NONE
CPX-5322		NONE
CPX-533		NONE
CPX-534		NONE
CPX-5341		INPUT
CPX-535		NONE
CPX-536		NONE
CPX-537		NONE
CPX-539		NONE
CPX-5401		NONE
CPX-5421		NONE
CPX-5422		NONE
CPX-5423		NONE
CPX-5424		NONE
CPX-544		NONE
CPX-5441		NONE
CPX-5442		NONE
CPX-545		STRUCTURE
CPX-5461		NONE
CPX-5462		NONE
CPX-5463		NONE
CPX-5464		NONE
CPX-5465		NONE
CPX-5466		NONE
CPX-548		STRUCTURE
CPX-5521		NONE
CPX-554		NONE
CPX-558		NONE
CPX-565		NONE
CPX-567		NONE
CPX-568		STRUCTURE
CPX-571		NONE
CPX-572		NONE
CPX-573		NONE
CPX-574		NONE
CPX-575		NONE
CPX-576		NONE
CPX-579		NONE
CPX-580		NONE
CPX-581		BOTH
CPX-582		NONE
CPX-583		NONE
CPX-588		NONE
CPX-590		NONE
CPX-599		NONE
CPX-603		NONE
CPX-607		NONE
CPX-608		NONE
CPX-609		NONE
CPX-6127		NONE
CPX-636		INPUT
CPX-637		NONE
CPX-656		NONE
CPX-6643		NONE
CPX-675		NONE
CPX-684		NONE
CPX-6864		INPUT
CPX-6865		INPUT
CPX-692		NONE
CPX-6921		INPUT
CPX-6924		INPUT
CPX-6928		INPUT
CPX-693		NONE
CPX-6930		INPUT
CPX-6937		INPUT
CPX-695		NONE
CPX-6957		INPUT
CPX-728		NONE
CPX-729		NONE
CPX-734		NONE
CPX-737		NONE
CPX-756		STRUCTURE
CPX-760		STRUCTURE
CPX-761		STRUCTURE
CPX-762		NONE
CPX-768		NONE
CPX-769		BOTH
CPX-770		BOTH
CPX-771		NONE
CPX-772		NONE
CPX-773		NONE
CPX-774		INPUT
CPX-775		INPUT
CPX-776		INPUT
CPX-777		NONE
CPX-778		NONE
CPX-779		NONE
CPX-780		NONE
CPX-781		NONE
CPX-782		NONE
CPX-783		NONE
CPX-784		NONE
CPX-7884		STRUCTURE
CPX-7885		STRUCTURE
CPX-8127		NONE
CPX-813		NONE
CPX-8171		NONE
CPX-8172		NONE
CPX-824		NONE
CPX-828		NONE
CPX-8559		NONE
CPX-8568		NONE
CPX-863		STRUCTURE
CPX-867		NONE
CPX-868		NONE
CPX-869		INPUT
CPX-9181		NONE
CPX-940		NONE
CPX-946		STRUCTURE
CPX-950		STRUCTURE
CPX-956		NONE
CPX-961		NONE
CPX-962		NONE
CPX-963		NONE
CPX-964		NONE
CPX-977		NONE
CPX-995		NONE
CPX-999		NONE
CQD1	YPL109C	STRUCTURE
CQD2	YLR253W	STRUCTURE
CRC1	YOR100C	NONE
CRD1	YDL142C	NONE
CRF1	YDR223W	NONE
CRG1	YHR209W	NONE
CRH1	YGR189C	STRUCTURE
CRM1	YGR218W	NONE
CRN1	YLR429W	NONE
CRP1	YHR146W	INPUT
CRR1	YLR213C	NONE
CRS1	YNL247W	NONE
CRS5	YOR031W	NONE
CRT10	YOL063C	NONE
CRZ1	YNL027W	NONE
CSA1	YPR174C	NONE
CSC1	YLR241W	INPUT
CSE1	YGL238W	STRUCTURE
CSE2	YNR010W	NONE
CSE4	YKL049C	STRUCTURE
CSF1	YLR087C	NONE
CSG2	YBR036C	NONE
CSH1	YBR161W	NONE
CSI1	YMR025W	NONE
CSI2	YOL007C	NONE
CSL4	YNL232W	NONE
CSM1	YCR086W	NONE
CSM2	YIL132C	STRUCTURE
CSM3	YMR048W	STRUCTURE
CSM4	YPL200W	STRUCTURE
CSN9	YDR179C	NONE
CSR1	YLR380W	NONE
CSR2	YPR030W	NONE
CSS1	YIL169C	INPUT
CSS2	YFR020W	NONE
CSS3	YOL159C	NONE
CST26	YBR042C	NONE
CST6	YIL036W	NONE
CST9	YLR394W	STRUCTURE
CTA1	YDR256C	NONE
CTF13	YMR094W	NONE
CTF18	YMR078C	STRUCTURE
CTF19	YPL018W	STRUCTURE
CTF3	YLR381W	STRUCTURE
CTF4	YPR135W	STRUCTURE
CTF8	YHR191C	STRUCTURE
CTH1	YDR151C	NONE
CTI6	YPL181W	STRUCTURE
CTK1	YKL139W	STRUCTURE
CTK2	YJL006C	NONE
CTK3	YML112W	NONE
CTL1	YMR180C	NONE
CTM1	YHR109W	NONE
CTO1	YCR015C	NONE
CTP1	YBR291C	INPUT
CTR1	YPR124W	INPUT
CTR2	YHR175W	INPUT
CTR3	YLR411W	INPUT
CTR86	YCR054C	STRUCTURE
CTR9	YOL145C	STRUCTURE
CTS1	YLR286C	STRUCTURE
CTS2	YDR371W	NONE
CTT1	YGR088W	NONE
CUB1	YPL260W	NONE
CUE1	YMR264W	NONE
CUE2	YKL090W	NONE
CUE3	YGL110C	NONE
CUE4	YML101C	NONE
CUE5	YOR042W	NONE
CUL3	YGR003W	STRUCTURE
CUP1-1	YHR053C	NONE
CUP1-2	YHR055C	NONE
CUP2	YGL166W	NONE
CUP9	YPL177C	NONE
CUR1	YPR158W	STRUCTURE
CUS1	YMR240C	NONE
CUS2	YNL286W	NONE
CUZ1	YNL155W	STRUCTURE
CVM1	YMR160W	NONE
CVM2	YML020W	NONE
CWC15	YDR163W	NONE
CWC2	YDL209C	NONE
CWC21	YDR482C	NONE
CWC22	YGR278W	NONE
CWC23	YGL128C	NONE
CWC24	YLR323C	NONE
CWC25	YNL245C	NONE
CWC27	YPL064C	NONE
CWH41	YGL027C	STRUCTURE
CWH43	YCR017C	NONE
CWP1	YKL096W	NONE
CWP2	YKL096W-A	NONE
CYB2	YML054C	NONE
CYB5	YNL111C	NONE
CYC1	YJR048W	NONE
CYC2	YOR037W	NONE
CYC3	YAL039C	NONE
CYC7	YEL039C	NONE
CYC8	YBR112C	STRUCTURE
CYK3	YDL117W	STRUCTURE
CYM1	YDR430C	NONE
CYR1	YJL005W	INPUT
CYS3	YAL012W	NONE
CYS4	YGR155W	NONE
CYT1	YOR065W	NONE
CYT2	YKL087C	NONE
DAD1	YDR016C	STRUCTURE
DAD2	YKR083C	STRUCTURE
DAD3	YBR233W-A	STRUCTURE
DAD4	YDR320C-A	STRUCTURE
DAK1	YML070W	NONE
DAK2	YFL053W	NONE
DAL1	YIR027C	NONE
DAL2	YIR029W	NONE
DAL3	YIR032C	NONE
DAL4	YIR028W	INPUT
DAL5	YJR152W	INPUT
DAL7	YIR031C	NONE
DAL80	YKR034W	NONE
DAL81	YIR023W	NONE
DAL82	YNL314W	NONE
DAM1	YGR113W	STRUCTURE
DAN1	YJR150C	NONE
DAN4	YJR151C	NONE
DAP1	YPL170W	NONE
DAP2	YHR028C	NONE
DAS1	YJL149W	NONE
DAS2	YDR020C	NONE
DAT1	YML113W	NONE
DBF2	YGR092W	STRUCTURE
DBF20	YPR111W	STRUCTURE
DBF4	YDR052C	STRUCTURE
DBP1	YPL119C	NONE
DBP10	YDL031W	STRUCTURE
DBP2	YNL112W	STRUCTURE
DBP3	YGL078C	STRUCTURE
DBP5	YOR046C	NONE
DBP6	YNR038W	STRUCTURE
DBP7	YKR024C	STRUCTURE
DBP8	YHR169W	STRUCTURE
DBP9	YLR276C	STRUCTURE
DBR1	YKL149C	NONE
DCC1	YCL016C	STRUCTURE
DCD1	YHR144C	NONE
DCG1	YIR030C	NONE
DCI1	YOR180C	NONE
DCK1	YLR422W	INPUT
DCN1	YLR128W	NONE
DCP1	YOL149W	NONE
DCP2	YNL118C	NONE
DCR2	YLR361C	NONE
DCS1	YLR270W	INPUT
DCS2	YOR173W	INPUT
DCV1	YFR012W	NONE
DCW1	YKL046C	STRUCTURE
DDC1	YPL194W	STRUCTURE
DDE1	YHR045W	NONE
DDI1	YER143W	NONE
DDI2	YNL335W	NONE
DDI3	YFL061W	NONE
DDL1	YOR022C	NONE
DDP1	YOR163W	NONE
DDR2	YOL052C-A	NONE
DDR48	YMR173W	STRUCTURE
DED1	YOR204W	NONE
DED81	YHR019C	NONE
DEF1	YKL054C	STRUCTURE
DEG1	YFL001W	NONE
DEP1	YAL013W	STRUCTURE
DER1	YBR201W	NONE
DET1	YDR051C	NONE
DFG10	YIL049W	NONE
DFG16	YOR030W	NONE
DFG5	YMR238W	STRUCTURE
DFM1	YDR411C	STRUCTURE
DFP1	YAR023C	NONE
DFP2	YAR029W	NONE
DFP3	YCR007C	NONE
DFP4	YHL044W	NONE
DFR1	YOR236W	NONE
DGA1	YOR245C	NONE
DGK1	YOR311C	NONE
DGR1	YNL130C-A	NONE
DGR2	YKL121W	NONE
DHH1	YDL160C	NONE
DHR2	YKL078W	STRUCTURE
DIA1	YMR316W	NONE
DIA2	YOR080W	NONE
DIA3	YDL024C	NONE
DIA4	YHR011W	NONE
DIB1	YPR082C	NONE
DIC1	YLR348C	NONE
DID2	YKR035W-A	NONE
DID4	YKL002W	NONE
DIE2	YGR227W	NONE
DIF1	YLR437C	NONE
DIG1	YPL049C	NONE
DIG2	YDR480W	NONE
DIM1	YPL266W	STRUCTURE
DIN7	YDR263C	STRUCTURE
DIP2	YLR129W	STRUCTURE
DIP5	YPL265W	INPUT
DIS3	YOL021C	NONE
DIT1	YDR403W	NONE
DIT2	YDR402C	NONE
DJP1	YIR004W	NONE
DLD1	YDL174C	NONE
DLD2	YDL178W	NONE
DLD3	YEL071W	NONE
DLS1	YJL065C	STRUCTURE
DLT1	YMR126C	NONE
DMA1	YHR115C	STRUCTURE
DMA2	YNL116W	STRUCTURE
DMC1	YER179W	STRUCTURE
DML1	YMR211W	STRUCTURE
DMO1	YJR120W	STRUCTURE
DMO2	YDL157C	NONE
DNA2	YHR164C	STRUCTURE
DNF1	YER166W	NONE
DNF2	YDR093W	NONE
DNF3	YMR162C	NONE
DNL4	YOR005C	STRUCTURE
DNM1	YLL001W	STRUCTURE
DOA1	YKL213C	STRUCTURE
DOA4	YDR069C	NONE
DOC1	YGL240W	STRUCTURE
DOG1	YHR044C	NONE
DOG2	YHR043C	NONE
DOM34	YNL001W	STRUCTURE
DON1	YDR273W	STRUCTURE
DOP1	YDR141C	NONE
DOS2	YDR068W	NONE
DOT1	YDR440W	STRUCTURE
DOT5	YIL010W	INPUT
DOT6	YER088C	NONE
DPA10	YLR307C-A	NONE
DPB11	YJL090C	STRUCTURE
DPB2	YPR175W	STRUCTURE
DPB3	YBR278W	STRUCTURE
DPB4	YDR121W	STRUCTURE
DPC13	YGL041W-A	NONE
DPC25	YPL107W	NONE
DPC29	YGR021W	NONE
DPC7	YKL065W-A	NONE
DPH1	YIL103W	NONE
DPH2	YKL191W	NONE
DPH5	YLR172C	NONE
DPH6	YLR143W	NONE
DPI35	YMR130W	NONE
DPI8	YJL133C-A	NONE
DPL1	YDR294C	NONE
DPM1	YPR183W	NONE
DPM2	YIL102C-A	NONE
DPP1	YDR284C	NONE
DPS1	YLL018C	NONE
DRE2	YKR071C	NONE
DRN1	YGR093W	NONE
DRS1	YLL008W	STRUCTURE
DRS2	YAL026C	NONE
DSC2	YOL073C	NONE
DSC3	YOR223W	NONE
DSD1	YGL196W	NONE
DSE1	YER124C	STRUCTURE
DSE2	YHR143W	STRUCTURE
DSE3	YOR264W	NONE
DSE4	YNR067C	STRUCTURE
DSF1	YEL070W	NONE
DSF2	YBR007C	NONE
DSK2	YMR276W	NONE
DSL1	YNL258C	NONE
DSN1	YIR010W	STRUCTURE
DSS1	YMR287C	NONE
DSS4	YPR017C	INPUT
DST1	YGL043W	NONE
DTD1	YDL219W	NONE
DTR1	YBR180W	INPUT
DUF1	YOL087C	NONE
DUG1	YFR044C	NONE
DUG2	YBR281C	NONE
DUG3	YNL191W	NONE
DUN1	YDL101C	NONE
DUO1	YGL061C	STRUCTURE
DUR12	YBR208C	NONE
DUR3	YHL016C	INPUT
DUS1	YML080W	NONE
DUS3	YLR401C	NONE
DUS4	YLR405W	NONE
DUT1	YBR252W	NONE
DXO1	YDR370C	NONE
DYN1	YKR054C	NONE
DYN2	YDR424C	NONE
DYN3	YMR299C	NONE
DYS1	YHR068W	NONE
EAF1	YDR359C	STRUCTURE
EAF3	YPR023C	STRUCTURE
EAF5	YEL018W	STRUCTURE
EAF6	YJR082C	STRUCTURE
EAF7	YNL136W	STRUCTURE
EAP1	YKL204W	NONE
EAR1	YMR171C	NONE
EAT1	YGR015C	NONE
EBP2	YKL172W	STRUCTURE
EBS1	YDR206W	NONE
ECI1	YLR284C	NONE
ECL1	YGR146C	NONE
ECM1	YAL059W	STRUCTURE
ECM10	YEL030W	STRUCTURE
ECM11	YDR446W	STRUCTURE
ECM12	YHR021W-A	STRUCTURE
ECM13	YBL043W	STRUCTURE
ECM14	YHR132C	STRUCTURE
ECM15	YBL001C	NONE
ECM16	YMR128W	STRUCTURE
ECM18	YDR125C	STRUCTURE
ECM19	YLR390W	STRUCTURE
ECM2	YBR065C	NONE
ECM21	YBL101C	STRUCTURE
ECM22	YLR228C	NONE
ECM23	YPL021W	STRUCTURE
ECM25	YJL201W	BOTH
ECM27	YJR106W	INPUT
ECM29	YHL030W	NONE
ECM3	YOR092W	BOTH
ECM30	YLR436C	STRUCTURE
ECM31	YBR176W	NONE
ECM32	YER176W	NONE
ECM33	YBR078W	STRUCTURE
ECM34	YHL043W	STRUCTURE
ECM38	YLR299W	NONE
ECM4	YKR076W	STRUCTURE
ECM5	YMR176W	BOTH
ECM7	YLR443W	STRUCTURE
ECM8	YBR076W	STRUCTURE
ECM9	YKR004C	STRUCTURE
ECO1	YFR027W	STRUCTURE
ECT1	YGR007W	NONE
EDC1	YGL222C	NONE
EDC2	YER035W	NONE
EDC3	YEL015W	NONE
EDE1	YBL047C	NONE
EDS1	YBR033W	NONE
EEB1	YPL095C	NONE
EFB1	YAL003W	NONE
EFG1	YGR271C-A	NONE
EFM1	YHL039W	NONE
EFM2	YBR271W	NONE
EFM3	YJR129C	NONE
EFM4	YIL064W	NONE
EFM5	YGR001C	NONE
EFM6	YNL024C	NONE
EFR3	YMR212C	NONE
EFT1	YOR133W	NONE
EFT2	YDR385W	NONE
EGD1	YPL037C	NONE
EGD2	YHR193C	NONE
EGH1	YIR007W	NONE
EGO2	YCR075W-A	INPUT
EGO4	YNR034W-A	NONE
EGT2	YNL327W	STRUCTURE
EHD3	YDR036C	NONE
EHT1	YBR177C	NONE
EIS1	YMR031C	NONE
EKI1	YDR147W	NONE
ELA1	YNL230C	NONE
ELC1	YPL046C	NONE
ELF1	YKL160W	NONE
ELG1	YOR144C	STRUCTURE
ELM1	YKL048C	STRUCTURE
ELO1	YJL196C	NONE
ELO2	YCR034W	NONE
ELO3	YLR372W	NONE
ELP2	YGR200C	NONE
ELP3	YPL086C	NONE
ELP4	YPL101W	NONE
ELP6	YMR312W	NONE
EMA17	YIL029C	NONE
EMA19	YLR050C	NONE
EMA35	YCR100C	NONE
EMC1	YCL045C	NONE
EMC10	YDR056C	NONE
EMC2	YJR088C	NONE
EMC3	YKL207W	NONE
EMC4	YGL231C	NONE
EMC5	YIL027C	NONE
EMC6	YLL014W	NONE
EMG1	YLR186W	STRUCTURE
EMI1	YDR512C	STRUCTURE
EMI2	YDR516C	NONE
EMP24	YGL200C	NONE
EMP46	YLR080W	NONE
EMP47	YFL048C	NONE
EMP65	YER140W	NONE
EMP70	YLR083C	INPUT
EMT1	YNCD0025W	NONE
EMT2	YNCO0030W	NONE
EMT3	YNCJ0020W	NONE
EMT4	YNCM0028C	NONE
EMT5	YNCJ0016C	NONE
EMW1	YNL313C	STRUCTURE
ENA1	YDR040C	INPUT
ENA2	YDR039C	INPUT
ENA5	YDR038C	INPUT
ENA6		NONE
ENB1	YOL158C	INPUT
END3	YNL084C	NONE
ENO1	YGR254W	NONE
ENO2	YHR174W	NONE
ENP1	YBR247C	STRUCTURE
ENP2	YGR145W	STRUCTURE
ENS2		NONE
ENT1	YDL161W	NONE
ENT2	YLR206W	NONE
ENT3	YJR125C	NONE
ENT4	YLL038C	NONE
ENT5	YDR153C	NONE
ENV11	YGR071C	NONE
ENV7	YPL236C	NONE
ENV9	YOR246C	NONE
EOS1	YNL080C	INPUT
EPL1	YFL024C	STRUCTURE
EPO1	YMR124W	NONE
EPS1	YIL005W	STRUCTURE
EPT1	YHR123W	NONE
ERB1	YMR049C	STRUCTURE
ERC1	YHR032W	INPUT
ERD1	YDR414C	NONE
ERD2	YBL040C	NONE
ERF2	YLR246W	NONE
ERG1	YGR175C	NONE
ERG10	YPL028W	NONE
ERG11	YHR007C	NONE
ERG12	YMR208W	NONE
ERG13	YML126C	NONE
ERG2	YMR202W	NONE
ERG20	YJL167W	NONE
ERG24	YNL280C	NONE
ERG25	YGR060W	NONE
ERG26	YGL001C	NONE
ERG27	YLR100W	NONE
ERG28	YER044C	NONE
ERG29	YMR134W	STRUCTURE
ERG3	YLR056W	NONE
ERG4	YGL012W	NONE
ERG5	YMR015C	NONE
ERG6	YML008C	NONE
ERG7	YHR072W	NONE
ERG8	YMR220W	NONE
ERG9	YHR190W	NONE
ERI1	YPL096C-A	NONE
ERJ5	YFR041C	STRUCTURE
ERO1	YML130C	NONE
ERP1	YAR002C-A	NONE
ERP2	YAL007C	NONE
ERP3	YDL018C	NONE
ERP4	YOR016C	NONE
ERP5	YHR110W	NONE
ERP6	YGL002W	NONE
ERR1	YOR393W	NONE
ERR2	YPL281C	NONE
ERR3	YMR323W	NONE
ERS1	YCR075C	INPUT
ERT1	YBR239C	NONE
ERV1	YGR029W	INPUT
ERV14	YGL054C	NONE
ERV15	YBR210W	NONE
ERV2	YPR037C	NONE
ERV25	YML012W	NONE
ERV29	YGR284C	NONE
ERV41	YML067C	NONE
ERV46	YAL042W	NONE
ESA1	YOR244W	STRUCTURE
ESBP6	YNL125C	INPUT
ESC1	YMR219W	NONE
ESC2	YDR363W	NONE
ESC8	YOL017W	NONE
ESF1	YDR365C	STRUCTURE
ESF2	YNR054C	STRUCTURE
ESL1	YIL151C	NONE
ESL2	YKR096W	NONE
ESP1	YGR098C	STRUCTURE
ESS1	YJR017C	NONE
EST1	YLR233C	NONE
EST2	YLR318W	NONE
EST3	YIL009C-A	NONE
ETP1	YHL010C	NONE
ETR1	YBR026C	NONE
ETS1-1	YNCL0017C	NONE
