gene	ORF	class
APL5	YPL195W	NONE
APL6	YGR261C	NONE
APM1	YPL259C	NONE
APM2	YHL019C	NONE
APM3	YBR288C	NONE
APM4	YOL062C	NONE
APN1	YKL114C	STRUCTURE
APN2	YBL019W	STRUCTURE
APP1	YNL094W	NONE
APQ12	YIL040W	NONE
APQ13	YJL075C	NONE
APS1	YLR170C	NONE
APS2	YJR058C	NONE
APS3	YJL024C	NONE
APT1	YML022W	NONE
APT2	YDR441C	NONE
AQR1	YNL065W	INPUT
AQY1	YPR192W	INPUT
AQY2	YLL052C	INPUT
AQY3	YFL054C	INPUT
ARA1	YBR149W	NONE
ARA2	YMR041C	NONE
ARB1	YER036C	STRUCTURE
ARC1	YGL105W	NONE
ARC15	YIL062C	NONE
ARC18	YLR370C	NONE
ARC19	YKL013C	NONE
ARC35	YNR035C	NONE
ARC40	YBR234C	NONE
ARD1	YHR013C	NONE
ARE1	YCR048W	NONE
ARE2	YNR019W	NONE
ARF1	YDL192W	NONE
ARF2	YDL137W	NONE
ARF3	YOR094W	NONE
ARG1	YOL058W	NONE
ARG2	YJL071W	NONE
ARG3	YJL088W	NONE
ARG4	YHR018C	NONE
ARG56	YER069W	NONE
ARG7	YMR062C	NONE
ARG8	YOL140W	NONE
ARG80	YMR042W	NONE
ARG81	YML099C	NONE
ARG82	YDR173C	NONE
ARH1	YDR376W	NONE
ARI1	YGL157W	NONE
ARK1	YNL020C	NONE
ARL1	YBR164C	NONE
ARL3	YPL051W	NONE
ARN1	YHL040C	INPUT
ARN2	YHL047C	INPUT
ARO1	YDR127W	NONE
ARO10	YDR380W	NONE
ARO2	YGL148W	NONE
ARO3	YDR035W	NONE
ARO4	YBR249C	NONE
ARO5	YGL117W	NONE
ARO7	YPR060C	NONE
ARO8	YGL202W	NONE
ARO80	YDR421W	NONE
ARO9	YHR137W	NONE
ARP1	YHR129C	NONE
ARP10	YDR106W	STRUCTURE
ARP2	YDL029W	NONE
ARP3	YJR065C	NONE
ARP4	YJL081C	STRUCTURE
ARP5	YNL059C	NONE
ARP6	YLR085C	STRUCTURE
ARP7	YPR034W	STRUCTURE
ARP8	YOR141C	NONE
ARP9	YMR033W	STRUCTURE
ARR1	YPR199C	NONE
ARR2	YPR200C	NONE
ARR3	YPR201W	INPUT
ART10	YLR392C	NONE
ART5	YGR068C	NONE
ARV1	YLR242C	NONE
ARX1	YDR101C	NONE
ASA1	YPR085C	STRUCTURE
ASC1	YMR116C	INPUT
ASE1	YOR058C	NONE
ASF1	YJL115W	STRUCTURE
ASF2	YDL197C	NONE
ASG1	YIL130W	NONE
ASG7	YJL170C	NONE
ASH1	YKL185W	STRUCTURE
ASI1	YMR119W	STRUCTURE
ASI2	YNL159C	STRUCTURE
ASI3	YNL008C	STRUCTURE
ASK1	YKL052C	STRUCTURE
ASK10	YGR097W	INPUT
ASM4	YDL088C	STRUCTURE
ASN1	YPR145W	NONE
ASN2	YGR124W	NONE
ASP1	YDR321W	NONE
ASP3-1	YLR155C	NONE
ASP3-2	YLR157C	NONE
ASP3-3	YLR158C	NONE
ASP3-4	YLR160C	NONE
ASR1	YPR093C	NONE
AST1	YBL069W	NONE
AST2	YER101C	NONE
ATC1	YDR184C	NONE
ATE1	YGL017W	NONE
ATF1	YOR377W	NONE
ATF2	YGR177C	NONE
ATG1	YGL180W	NONE
ATG10	YLL042C	NONE
ATG11	YPR049C	STRUCTURE
ATG12	YBR217W	NONE
ATG13	YPR185W	NONE
ATG14	YBR128C	NONE
ATG15	YCR068W	NONE
ATG16	YMR159C	NONE
ATG17	YLR423C	NONE
ATG18	YFR021W	NONE
ATG19	YOL082W	NONE
ATG2	YNL242W	NONE
ATG20	YDL113C	NONE
ATG21	YPL100W	NONE
ATG22	YCL038C	INPUT
ATG23	YLR431C	NONE
ATG26	YLR189C	NONE
ATG27	YJL178C	NONE
ATG29	YPL166W	NONE
ATG3	YNR007C	NONE
ATG31	YDR022C	STRUCTURE
ATG32	YIL146C	NONE
ATG33	YLR356W	NONE
ATG34	YOL083W	NONE
ATG36	YJL185C	NONE
ATG38	YLR211C	NONE
ATG39	YLR312C	NONE
ATG4	YNL223W	NONE
ATG40	YOR152C	NONE
ATG41	YPL250C	NONE
ATG42	YBR139W	NONE
ATG44	YIL156W-B	NONE
ATG45	YIL024C	NONE
ATG5	YPL149W	NONE
ATG7	YHR171W	NONE
ATG8	YBL078C	NONE
ATG9	YDL149W	NONE
ATH1	YPR026W	NONE
ATM1	YMR301C	INPUT
ATO2	YNR002C	INPUT
ATO3	YDR384C	INPUT
ATP1	YBL099W	INPUT
ATP10	YLR393W	NONE
ATP11	YNL315C	STRUCTURE
ATP12	YJL180C	NONE
ATP14	YLR295C	INPUT
ATP15	YPL271W	INPUT
ATP16	YDL004W	INPUT
ATP17	YDR377W	INPUT
ATP18	YML081C-A	INPUT
ATP19	YOL077W-A	INPUT
ATP2	YJR121W	INPUT
ATP20	YPR020W	INPUT
ATP22	YDR350C	NONE
ATP23	YNR020C	NONE
ATP25	YMR098C	NONE
ATP3	YBR039W	INPUT
ATP4	YPL078C	INPUT
ATP5	YDR298C	INPUT
ATP6		INPUT
ATP7	YKL016C	INPUT
ATP8		INPUT
ATR1	YML116W	INPUT
ATR2	YMR279C	INPUT
ATS1	YAL020C	NONE
ATX1	YNL259C	INPUT
ATX2	YOR079C	INPUT
AUA1	YFL010W-A	INPUT
AUR1	YKL004W	NONE
AUS1	YOR011W	INPUT
AVL9	YLR114C	NONE
AVO1	YOL078W	NONE
AVO2	YMR068W	NONE
AVT1	YJR001W	INPUT
AVT2	YEL064C	INPUT
AVT3	YKL146W	INPUT
AVT4	YNL101W	INPUT
AVT5	YBL089W	INPUT
AVT6	YER119C	INPUT
AVT7	YIL088C	INPUT
AWA1		NONE
AXL1	YPR122W	NONE
AXL2	YIL140W	NONE
AYR1	YIL124W	NONE
AYT1	YLL063C	NONE
AZF1	YOR113W	NONE
AZR1	YGR224W	INPUT
BAG7	YOR134W	INPUT
BAP2	YBR068C	INPUT
BAP3	YDR046C	INPUT
BAR1	YIL015W	NONE
BAS1	YKR099W	NONE
BAT1	YHR208W	NONE
BAT2	YJR148W	NONE
BBC1	YJL020C	NONE
BBP1	YPL255W	NONE
BCD1	YHR040W	STRUCTURE
BCH1	YMR237W	NONE
BCH2	YKR027W	NONE
BCK1	YJL095W	INPUT
BCK2	YER167W	STRUCTURE
BCP1	YDR361C	STRUCTURE
BCS1	YDR375C	INPUT
BCY1	YIL033C	NONE
BDF1	YLR399C	STRUCTURE
BDF2	YDL070W	STRUCTURE
BDH1	YAL060W	NONE
BDH2	YAL061W	NONE
BDP1	YNL039W	NONE
BDS1	YOL164W	NONE
BEM1	YBR200W	NONE
BEM2	YER155C	INPUT
BEM3	YPL115C	INPUT
BEM4	YPL161C	NONE
BER1	YLR412W	NONE
BET1	YIL004C	NONE
BET2	YPR176C	NONE
BET3	YKR068C	NONE
BET4	YJL031C	NONE
BET5	YML077W	NONE
BFA1	YJR053W	STRUCTURE
BFR1	YOR198C	NONE
BFR2	YDR299W	NONE
BGL2	YGR282C	STRUCTURE
BI2		NONE
BI3		NONE
BI4		NONE
BIG1	YHR101C	STRUCTURE
BIK1	YCL029C	STRUCTURE
BIL1	YOR304C-A	NONE
BIL2	YGL015C	NONE
BIM1	YER016W	STRUCTURE
BIO1	YAR070W-A	NONE
BIO2	YGR286C	NONE
BIO3	YNR058W	NONE
BIO4	YNR057C	NONE
BIO5	YNR056C	INPUT
BIO6	YAR069W-A	NONE
BIO7	YHR214W-G	NONE
BIO8	YHR214W-F	NONE
BIR1	YJR089W	STRUCTURE
BIT2	YBR270C	NONE
BIT61	YJL058C	NONE
BLI1	YKL061W	NONE
BLM10	YFL007W	STRUCTURE
BLS1	YLR408C	NONE
BMH1	YER177W	BOTH
