label,n_input,n_structure,cohens_d,mann_whitney_U,mann_whitney_p,observed_diff,permutation_p,R2_linear,AIC_linear,R2_sigmoid,AIC_sigmoid,delta_AIC,mean_input,mean_structure,mag_input,mag_structure,ratio,threshold_name,threshold_value
AUC_PUBLISHED (global),86821,129943,-1.0917932113073432,9197187159.0,0.0,-0.18144771681861793,0.0,0.530604436571295,-82079.54940224266,0.579157779750799,-84259.30624445742,2179.7568422147597,0.9540688247428617,0.7726211079242438,0.0459311752571383,0.22737889207575623,4.950426171392569,,
LN_IC50 (global),86821,129943,-0.9053122022342699,8412051799.0,0.0,-2.3819397248236145,0.0,1.0,-1394437.566201876,,inf,-inf,3.412099484250003,1.0301597594263885,,,0.3019137525683319,,
AUC_PUBLISHED (GDSC2),29834,51892,-0.8971286105705987,1184773002.5,0.0,-0.1356175931492124,0.0,0.5644055440410529,-89115.09288734797,0.6019505696034912,-90913.80226858908,1798.709381241104,0.9495484363813098,0.8139308432320974,0.05045156361869019,0.1860691567679026,3.688075124374773,,
Seuil=IC30,94544,122220,-0.9301105949157654,8656456695.5,0.0,-0.159190040449953,0.0,0.5388956817729853,-82172.73498845538,0.590545668322598,-84544.71357456304,2371.9785861076525,0.9350543485255544,0.7758643080756014,0.06494565147444564,0.22413569192439864,3.451127009059105,IC30,2.6382262091999977
Seuil=IC40,81741,135023,-0.9458315633831541,8576924553.0,0.0,-0.16205549037453526,0.0,0.5388956817729853,-82172.73498845538,0.590545668322598,-84544.71357456304,2371.9785861076525,0.9462416846747655,0.7841861943002303,0.05375831532523445,0.2158138056997697,4.014519510035046,IC40,5.864706275800001
Seuil=IC50,67859,148905,-0.9089267695567752,8002919609.5,0.0,-0.1578647858863338,0.0,0.5388956817729853,-82172.73498845538,0.590545668322598,-84544.71357456304,2371.9785861076525,0.9537412577845239,0.7958764718981901,0.0462587422154761,0.2041235281018099,4.4126476061754945,IC50,11.384866825
Seuil=IC60,53470,163294,-0.8481741937753443,6951507404.5,0.0,-0.15014346379534627,0.0,0.5388956817729853,-82172.73498845538,0.590545668322598,-84544.71357456304,2371.9785861076525,0.9584037978492613,0.8082603340539151,0.04159620215073867,0.19173966594608494,4.609547411353755,IC60,20.84002466399998
Seuil=IC70,38989,177775,-0.779698934492186,5494108405.5,0.0,-0.14078126085998866,0.0,0.5388956817729853,-82172.73498845538,0.590545668322598,-84544.71357456304,2371.9785861076525,0.9607559498320039,0.8199746889720152,0.03924405016799615,0.1800253110279848,4.587327512255525,IC70,38.46978392799997
Pathway: EGFR signaling,8607,3125,-2.882237466906808,26645299.5,0.0,-0.23782954431576175,0.0,0.3464601074545227,-52209.1867393057,0.45505867156474766,-54337.18961342623,2128.0028741205315,0.9562703046357617,0.7184407603199999,0.04372969536423832,0.2815592396800001,6.438627969730981,,
Pathway: ERK MAPK signaling,12645,5184,-2.2006649126799607,63319206.5,0.0,-0.2390754028964015,0.0,0.6333768309084462,-84691.74669985527,0.7556891582473702,-91924.41615622069,7232.669456365416,0.9484065001186238,0.7093310972222223,0.05159349988137618,0.2906689027777777,5.633827971470899,,
Pathway: Hormone-related,5634,190,-4.280946555462008,1053037.0,3.138751647108596e-114,-0.13361957150197112,0.0,0.1037580965840672,-38360.05012834066,0.32703510262490976,-40024.72623227368,1664.6761039330158,0.9648293872914447,0.8312098157894736,0.03517061270855526,0.16879018421052638,4.799182363105893,,
Pathway: Immune response,4288,708,-3.13681925296058,2986261.5,0.0,-0.1636067826255374,0.0,0.5195399721498563,-29238.529310055084,0.8078382053633764,-33812.89537830797,4574.366068252886,0.9583959351679103,0.7947891525423729,0.04160406483208967,0.20521084745762708,4.932471100740755,,
Pathway: JNK and p38 signaling,2403,1326,-2.592543008570939,3175553.0,0.0,-0.25138545841642124,0.0,0.8476966502415191,-20940.604158244794,0.9833878291000324,-29199.0935493271,8258.489391082305,0.9562043241781105,0.7048188657616893,0.04379567582188948,0.2951811342383107,6.739960708421732,,
Pathway: Metabolism,5284,2969,-2.323013987405084,15624004.0,0.0,-0.33519234225809014,0.0,0.356336495041103,-28920.525373967404,0.6086644861819688,-33023.30729052423,4102.781916556825,0.9544307956093868,0.6192384533512967,0.04556920439061318,0.3807615466487033,8.355676859856182,,
Pathway: PI3K/MTOR signaling,10877,10100,-1.933218390748746,107695074.0,0.0,-0.23306828799410528,0.0,0.41488769812218396,-82170.40673449566,0.43765114725644017,-82960.03485635873,789.6281218630756,0.9362716335386596,0.7032033455445543,0.06372836646134039,0.2967966544554457,4.65721421928321,,
Pathway: RTK signaling,27557,8331,-2.640952042192075,221483778.0,0.0,-0.22219144296374405,0.0,0.5288068487968018,-97959.88538459755,0.7146907602319155,-107989.77445640822,10029.88907181067,0.9568382211416339,0.7346467781778898,0.04316177885836614,0.2653532218221102,6.147875014439452,,
Pathway: WNT signaling,9526,336,-4.053333221835582,3008110.0,7.687437310535943e-166,-0.1166878957620997,0.0,0.17527464611811383,-67611.77828599434,0.2964357722226225,-69174.7638591433,1562.985573148966,0.9628544463573377,0.846166550595238,0.037145553642662255,0.15383344940476196,4.141369136253277,,
